Sum of percentage_customer_feedback,Column Labels,,,,,
Row Labels,Bad,Good,Okay,Very Bad,Very Good,Grand Total
1,11.29,28.71,19.03,10.97,30,100
2,14.12,22.14,20.23,14.89,28.63,100.01
3,22.71,20.96,21.83,17.9,16.59,99.99
4,29.15,10.05,20.1,30.65,10.05,100
Grand Total,77.27,81.86,81.19,74.41,85.27,400
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
quarter_number,customer_feedback,percentage_customer_feedback,,,,
1,Bad,11.29,,,,
1,Good,28.71,,,,
1,Okay,19.03,,,,
1,Very Bad,10.97,,,,
1,Very Good,30,,,,
2,Bad,14.12,,,,
2,Good,22.14,,,,
2,Okay,20.23,,,,
2,Very Bad,14.89,,,,
2,Very Good,28.63,,,,
3,Bad,22.71,,,,
3,Good,20.96,,,,
3,Okay,21.83,,,,
3,Very Bad,17.9,,,,
3,Very Good,16.59,,,,
4,Bad,29.15,,,,
4,Good,10.05,,,,
4,Okay,20.1,,,,
4,Very Bad,30.65,,,,
4,Very Good,10.05,,,,
